Category: All categories

Week,Soziale Distanzierung: (Worldwide)
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,20
2020-03-08,61
2020-03-15,100
2020-03-22,58
2020-03-29,38
2020-04-05,20
2020-04-12,19
2020-04-19,19
2020-04-26,19
2020-05-03,39
2020-05-10,58
2020-05-17,19
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,20
2020-06-21,20
2020-06-28,21
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,22
2020-08-02,0
2020-08-09,21
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,20
2020-09-27,0
2020-10-04,21
2020-10-11,22
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,22
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,22
2021-06-06,0
